post_verified,post_type,building_type,squares,nums_bedroom,nums_wc,nums_floor,furniture,price,project_names,streets,wards,districts,type_squares
0,vip-diamond,Căn hộ chung cư,88.0,3,2,1,Cơ bản,9.5,Dự án The Western Capital,Đường Lý Chiêu Hoàng,Phường 10,6,80-100
0,vip-diamond,Căn hộ chung cư,88.0,3,2,1,Đầy đủ,9.0,Dự án The Western Capital,Đường Lý Chiêu Hoàng,Phường 10,6,80-100
0,vip-diamond,Căn hộ chung cư,70.0,2,2,1,Đầy đủ,7.0,Dự án The Western Capital,Đường Lý Chiêu Hoàng,Phường 10,6,60-80
0,vip-diamond,Căn hộ chung cư,92.0,2,2,1,Đầy đủ,18.0,Dự án Vinhomes Central Park,Đường Điện Biên Phủ,Phường 22,Bình Thạnh,80-100
0,vip-diamond,Căn hộ chung cư,56.0,3,2,1,Cao cấp,15.0,Dự án Vinhomes Central Park,Đường Điện Biên Phủ,Phường 22,Bình Thạnh,40-60
0,vip-diamond,Căn hộ chung cư,80.0,1,1,1,Đầy đủ,16.0,Dự án Vinhomes Central Park,Đường Điện Biên Phủ,Phường 22,Bình Thạnh,60-80
0,vip-diamond,Căn hộ chung cư,72.0,2,2,1,Đầy đủ,12.0,Dự án Eco Green Sài Gòn,Đường Nguyễn Văn Linh,Phường Tân Thuận Tây,7,60-80
0,vip-diamond,Căn hộ chung cư,70.0,2,2,1,Đầy đủ,11.0,Không thuộc dự án,Đường Nguyễn Văn Linh,Phường Tân Thuận Tây,7,60-80
0,vip-diamond,Căn hộ chung cư,86.0,2,2,1,Đầy đủ,17.0,Dự án Vinhomes Central Park,Đường Điện Biên Phủ,Phường 22,Bình Thạnh,80-100
0,vip-diamond,Căn hộ chung cư,77.0,2,2,1,Đầy đủ,15.5,Dự án Sunrise City,Đường Nguyễn Hữu Thọ,Phường Tân Hưng,7,60-80
0,vip-diamond,Căn hộ chung cư,38.0,1,1,1,Đầy đủ,9.0,Dự án Sunrise City View,Đường Nguyễn Hữu Thọ,Phường Tân Hưng,7,20-40
0,vip-diamond,Căn hộ chung cư,90.0,2,2,1,Đầy đủ,18.0,Dự án Vinhomes Golden River Ba Son,Đường Nguyễn Thị Minh Khai,Phường Bến Nghé,1,80-100
0,vip-diamond,Căn hộ chung cư,75.0,2,2,1,Đầy đủ,18.0,Dự án Masteri Millennium,Đường Bến Vân Đồn,Phường 6,4,60-80
0,vip-diamond,Căn hộ chung cư,69.0,2,2,1,Đầy đủ,8.0,Dự án Q7 Saigon Riverside,Đường Đào Trí,Phường Phú Thuận,7,60-80
0,vip-diamond,Căn hộ chung cư,70.0,2,2,1,Đầy đủ,7.5,Dự án Q7 Boulevard,Đường Nguyễn Lương Bằng,Phường Phú Mỹ,7,60-80
0,vip-diamond,Căn hộ chung cư,56.0,1,1,1,Đầy đủ,15.0,Dự án Vinhomes Central Park,Đường Điện Biên Phủ,Phường 22,Bình Thạnh,40-60
0,vip-diamond,Căn hộ chung cư,53.0,1,1,1,Đầy đủ,7.0,Dự án Q7 Saigon Riverside,Đường Đào Trí,Phường Phú Thuận,7,40-60
0,vip-diamond,Căn hộ chung cư,66.66,2,1,1,Cơ bản,8.0,Dự án Q7 Saigon Riverside,Đường Đào Trí,Phường Phú Thuận,7,60-80
0,vip-diamond,Căn hộ chung cư,53.0,2,1,1,Cơ bản,7.0,Dự án Q7 Saigon Riverside,Đường Đào Trí,Phường Phú Thuận,7,40-60
0,vip-diamond,Căn hộ chung cư,76.0,2,2,1,Cao cấp,15.0,Dự án Sunrise City,Đường Nguyễn Hữu Thọ,Phường Tân Hưng,7,60-80
0,vip-diamond,Căn hộ chung cư,85.0,2,2,1,Đầy đủ,18.0,Dự án Vinhomes Golden River Ba Son,Đường Nguyễn Thị Minh Khai,Phường Bến Nghé,1,80-100
0,vip-diamond,Căn hộ chung cư,92.0,2,2,1,Đầy đủ,18.0,Dự án Vinhomes Central Park,Đường Điện Biên Phủ,Phường 22,Bình Thạnh,80-100
0,vip-diamond,Căn hộ chung cư,56.0,1,1,1,Đầy đủ,7.0,Dự án The Western Capital,Đường Lý Chiêu Hoàng,Phường 10,6,40-60
0,vip-gold,Căn hộ chung cư,77.0,2,2,1,Đầy đủ,22.0,Dự án Vinhomes Golden River Ba Son,Đường Nguyễn Thị Minh Khai,Phường Bến Nghé,1,60-80
0,vip-gold,Căn hộ chung cư,70.0,2,2,1,Đầy đủ,10.0,Dự án Celadon City,Đường N1,Phường Sơn Kỳ,Tân Phú,60-80
0,vip-gold,Căn hộ chung cư,51.0,1,1,1,Đầy đủ,11.0,Dự án New City Thủ Thiêm,Đường Mai Chí Thọ,Phường Bình Khánh,2,40-60
0,vip-gold,Căn hộ chung cư,50.0,1,1,1,Cơ bản,13.0,Dự án HaDo Centrosa Garden,Đường 3/2,Phường 12,10,40-60
0,vip-gold,Căn hộ chung cư,26.0,1,1,1,Cao cấp,7.3,Không thuộc dự án,Đường Phùng Văn Cung,Phường 7,Phú Nhuận,20-40
0,vip-gold,Căn hộ chung cư,50.0,1,1,1,Có tiện nghi cơ bản,9.0,Dự án D’Lusso,Đường Nguyễn Thị Định,Phường An Phú,2,40-60
0,vip-gold,Căn hộ chung cư,44.0,1,1,1,Đầy đủ,9.0,Dự án Centana Thủ Thiêm,36 Đường Mai Chí Thọ,Phường An Phú,2,40-60
0,vip-gold,Căn hộ chung cư,150.0,4,3,1,Đầy đủ,43.0,Dự án Vinhomes Central Park,Đường Điện Biên Phủ,Phường 22,Bình Thạnh,100+
0,vip-gold,Căn hộ chung cư,100.0,3,2,1,Đầy đủ,27.0,Dự án Vinhomes Central Park,Đường Điện Biên Phủ,Phường 22,Bình Thạnh,80-100
0,vip-gold,Căn hộ chung cư,97.0,3,2,1,Đầy đủ,11.0,Dự án Centana Thủ Thiêm,Đường Mai Chí Thọ,Phường An Phú,2,80-100
0,vip-gold,Căn hộ chung cư,66.0,2,2,1,Đầy đủ,8.0,Dự án Moonlight Residences,Đường Đặng Văn Bi,Phường Bình Thọ,Thủ Đức,60-80
0,vip-gold,Căn hộ chung cư,90.0,2,2,1,Đầy đủ,18.0,Dự án Vinhomes Golden River Ba Son,Đường Nguyễn Thị Minh Khai,Phường Bến Nghé,1,80-100
0,vip-gold,Căn hộ chung cư,75.0,2,2,1,Cơ bản,8.5,Dự án Akari City Nam Long,Đường Võ Văn Kiệt,Phường An Lạc,Bình Tân,60-80
